id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kategori_bayi,jumlah_kematian,satuan,tahun
68,32,JAWA BARAT,3207,KABUPATEN CIAMIS,ANAK BALITA,7,ORANG,2020
69,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,BAYI,80,ORANG,2020
70,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,ANAK BALITA,3,ORANG,2020
71,32,JAWA BARAT,3209,KABUPATEN CIREBON,BAYI,134,ORANG,2020
72,32,JAWA BARAT,3209,KABUPATEN CIREBON,ANAK BALITA,5,ORANG,2020
73,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,BAYI,76,ORANG,2020
74,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,ANAK BALITA,4,ORANG,2020
75,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,BAYI,137,ORANG,2020
76,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,ANAK BALITA,20,ORANG,2020
77,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,BAYI,208,ORANG,2020
78,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,ANAK BALITA,1,ORANG,2020
79,32,JAWA BARAT,3213,KABUPATEN SUBANG,BAYI,104,ORANG,2020
80,32,JAWA BARAT,3213,KABUPATEN SUBANG,ANAK BALITA,0,ORANG,2020
81,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,BAYI,72,ORANG,2020
82,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,ANAK BALITA,3,ORANG,2020
83,32,JAWA BARAT,3215,KABUPATEN KARAWANG,BAYI,136,ORANG,2020
84,32,JAWA BARAT,3215,KABUPATEN KARAWANG,ANAK BALITA,8,ORANG,2020
85,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAYI,16,ORANG,2020
86,32,JAWA BARAT,3216,KABUPATEN BEKASI,ANAK BALITA,0,ORANG,2020
87,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,BAYI,122,ORANG,2020
88,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,ANAK BALITA,0,ORANG,2020
89,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,BAYI,39,ORANG,2020
90,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,ANAK BALITA,2,ORANG,2020
91,32,JAWA BARAT,3271,KOTA BOGOR,BAYI,59,ORANG,2020
92,32,JAWA BARAT,3271,KOTA BOGOR,ANAK BALITA,4,ORANG,2020
