id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,angka_harapan_hidup,satuan,tahun
75,32,JAWA BARAT,3276,KOTA DEPOK,73.9,TAHUN,2012
76,32,JAWA BARAT,3277,KOTA CIMAHI,73.55,TAHUN,2012
77,32,JAWA BARAT,3278,KOTA TASIKMALAYA,70.87,TAHUN,2012
78,32,JAWA BARAT,3279,KOTA BANJAR,70.12,TAHUN,2012
79,32,JAWA BARAT,3201,KABUPATEN BOGOR,70.47,TAHUN,2013
80,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,69.7,TAHUN,2013
81,32,JAWA BARAT,3203,KABUPATEN CIANJUR,69.04,TAHUN,2013
82,32,JAWA BARAT,3204,KABUPATEN BANDUNG,72.96,TAHUN,2013
83,32,JAWA BARAT,3205,KABUPATEN GARUT,70.47,TAHUN,2013
84,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,67.9,TAHUN,2013
85,32,JAWA BARAT,3207,KABUPATEN CIAMIS,70.29,TAHUN,2013
86,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,72.21,TAHUN,2013
87,32,JAWA BARAT,3209,KABUPATEN CIREBON,71.25,TAHUN,2013
88,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,68.6,TAHUN,2013
89,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,71.86,TAHUN,2013
90,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,70.25,TAHUN,2013
91,32,JAWA BARAT,3213,KABUPATEN SUBANG,71.19,TAHUN,2013
92,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,69.95,TAHUN,2013
93,32,JAWA BARAT,3215,KABUPATEN KARAWANG,71.44,TAHUN,2013
94,32,JAWA BARAT,3216,KABUPATEN BEKASI,73.13,TAHUN,2013
95,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,71.56,TAHUN,2013
96,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,69.79,TAHUN,2013
97,32,JAWA BARAT,3271,KOTA BOGOR,72.57,TAHUN,2013
98,32,JAWA BARAT,3272,KOTA SUKABUMI,71.75,TAHUN,2013
99,32,JAWA BARAT,3273,KOTA BANDUNG,73.79,TAHUN,2013
100,32,JAWA BARAT,3274,KOTA CIREBON,71.75,TAHUN,2013
101,32,JAWA BARAT,3275,KOTA BEKASI,74.17,TAHUN,2013
102,32,JAWA BARAT,3276,KOTA DEPOK,73.94,TAHUN,2013
103,32,JAWA BARAT,3277,KOTA CIMAHI,73.56,TAHUN,2013
104,32,JAWA BARAT,3278,KOTA TASIKMALAYA,70.93,TAHUN,2013
105,32,JAWA BARAT,3279,KOTA BANJAR,70.2,TAHUN,2013
106,32,JAWA BARAT,3201,KABUPATEN BOGOR,70.49,TAHUN,2014
107,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,69.73,TAHUN,2014
108,32,JAWA BARAT,3203,KABUPATEN CIANJUR,69.08,TAHUN,2014
109,32,JAWA BARAT,3204,KABUPATEN BANDUNG,72.97,TAHUN,2014
110,32,JAWA BARAT,3205,KABUPATEN GARUT,70.49,TAHUN,2014
111,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,67.96,TAHUN,2014
112,32,JAWA BARAT,3207,KABUPATEN CIAMIS,70.34,TAHUN,2014
113,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,72.24,TAHUN,2014
114,32,JAWA BARAT,3209,KABUPATEN CIREBON,71.28,TAHUN,2014
115,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,68.66,TAHUN,2014
116,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,71.89,TAHUN,2014
117,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,70.29,TAHUN,2014
118,32,JAWA BARAT,3213,KABUPATEN SUBANG,71.22,TAHUN,2014
119,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,69.96,TAHUN,2014
120,32,JAWA BARAT,3215,KABUPATEN KARAWANG,71.45,TAHUN,2014
121,32,JAWA BARAT,3216,KABUPATEN BEKASI,73.16,TAHUN,2014
122,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,71.56,TAHUN,2014
123,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,69.84,TAHUN,2014
124,32,JAWA BARAT,3271,KOTA BOGOR,72.58,TAHUN,2014
125,32,JAWA BARAT,3272,KOTA SUKABUMI,71.76,TAHUN,2014
126,32,JAWA BARAT,3273,KOTA BANDUNG,73.8,TAHUN,2014
127,32,JAWA BARAT,3274,KOTA CIREBON,71.77,TAHUN,2014
128,32,JAWA BARAT,3275,KOTA BEKASI,74.18,TAHUN,2014
129,32,JAWA BARAT,3276,KOTA DEPOK,73.96,TAHUN,2014
130,32,JAWA BARAT,3277,KOTA CIMAHI,73.56,TAHUN,2014
131,32,JAWA BARAT,3278,KOTA TASIKMALAYA,70.96,TAHUN,2014
132,32,JAWA BARAT,3279,KOTA BANJAR,70.24,TAHUN,2014
133,32,JAWA BARAT,3201,KABUPATEN BOGOR,70.59,TAHUN,2015
134,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,70.03,TAHUN,2015
135,32,JAWA BARAT,3203,KABUPATEN CIANJUR,69.28,TAHUN,2015
136,32,JAWA BARAT,3204,KABUPATEN BANDUNG,73.07,TAHUN,2015
137,32,JAWA BARAT,3205,KABUPATEN GARUT,70.69,TAHUN,2015
138,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,68.36,TAHUN,2015
139,32,JAWA BARAT,3207,KABUPATEN CIAMIS,70.74,TAHUN,2015
140,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,72.64,TAHUN,2015
141,32,JAWA BARAT,3209,KABUPATEN CIREBON,71.38,TAHUN,2015
142,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,69.06,TAHUN,2015
143,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,71.91,TAHUN,2015
144,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,70.59,TAHUN,2015
145,32,JAWA BARAT,3213,KABUPATEN SUBANG,71.52,TAHUN,2015
146,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,70.26,TAHUN,2015
147,32,JAWA BARAT,3215,KABUPATEN KARAWANG,71.55,TAHUN,2015
148,32,JAWA BARAT,3216,KABUPATEN BEKASI,73.18,TAHUN,2015
149,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,71.76,TAHUN,2015
150,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,70.24,TAHUN,2015
151,32,JAWA BARAT,3271,KOTA BOGOR,72.88,TAHUN,2015
152,32,JAWA BARAT,3272,KOTA SUKABUMI,71.86,TAHUN,2015
153,32,JAWA BARAT,3273,KOTA BANDUNG,73.82,TAHUN,2015
154,32,JAWA BARAT,3274,KOTA CIREBON,71.79,TAHUN,2015
155,32,JAWA BARAT,3275,KOTA BEKASI,74.48,TAHUN,2015
156,32,JAWA BARAT,3276,KOTA DEPOK,73.98,TAHUN,2015
157,32,JAWA BARAT,3277,KOTA CIMAHI,73.58,TAHUN,2015
158,32,JAWA BARAT,3278,KOTA TASIKMALAYA,71.26,TAHUN,2015
159,32,JAWA BARAT,3279,KOTA BANJAR,70.26,TAHUN,2015
160,32,JAWA BARAT,3201,KABUPATEN BOGOR,70.65,TAHUN,2016
161,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,70.14,TAHUN,2016
162,32,JAWA BARAT,3203,KABUPATEN CIANJUR,69.39,TAHUN,2016
163,32,JAWA BARAT,3204,KABUPATEN BANDUNG,73.1,TAHUN,2016
164,32,JAWA BARAT,3205,KABUPATEN GARUT,70.76,TAHUN,2016
165,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,68.54,TAHUN,2016
166,32,JAWA BARAT,3207,KABUPATEN CIAMIS,70.9,TAHUN,2016
167,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,72.76,TAHUN,2016
168,32,JAWA BARAT,3209,KABUPATEN CIREBON,71.43,TAHUN,2016
169,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,69.22,TAHUN,2016
170,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,71.96,TAHUN,2016
171,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,70.72,TAHUN,2016
172,32,JAWA BARAT,3213,KABUPATEN SUBANG,71.61,TAHUN,2016
173,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,70.34,TAHUN,2016
174,32,JAWA BARAT,3215,KABUPATEN KARAWANG,71.6,TAHUN,2016
175,32,JAWA BARAT,3216,KABUPATEN BEKASI,73.24,TAHUN,2016
176,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,71.82,TAHUN,2016
177,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,70.4,TAHUN,2016
178,32,JAWA BARAT,3271,KOTA BOGOR,72.95,TAHUN,2016
179,32,JAWA BARAT,3272,KOTA SUKABUMI,71.9,TAHUN,2016
180,32,JAWA BARAT,3273,KOTA BANDUNG,73.84,TAHUN,2016
181,32,JAWA BARAT,3274,KOTA CIREBON,71.83,TAHUN,2016
182,32,JAWA BARAT,3275,KOTA BEKASI,74.55,TAHUN,2016
183,32,JAWA BARAT,3276,KOTA DEPOK,74.01,TAHUN,2016
184,32,JAWA BARAT,3277,KOTA CIMAHI,73.59,TAHUN,2016
185,32,JAWA BARAT,3278,KOTA TASIKMALAYA,71.37,TAHUN,2016
186,32,JAWA BARAT,3279,KOTA BANJAR,70.33,TAHUN,2016
187,32,JAWA BARAT,3201,KABUPATEN BOGOR,70.7,TAHUN,2017
188,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,70.26,TAHUN,2017
189,32,JAWA BARAT,3203,KABUPATEN CIANJUR,69.49,TAHUN,2017
190,32,JAWA BARAT,3204,KABUPATEN BANDUNG,73.13,TAHUN,2017
191,32,JAWA BARAT,3205,KABUPATEN GARUT,70.84,TAHUN,2017
192,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,68.71,TAHUN,2017
193,32,JAWA BARAT,3207,KABUPATEN CIAMIS,71.07,TAHUN,2017
194,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,72.88,TAHUN,2017
195,32,JAWA BARAT,3209,KABUPATEN CIREBON,71.49,TAHUN,2017
196,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,69.39,TAHUN,2017
197,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,72.0,TAHUN,2017
198,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,70.86,TAHUN,2017
199,32,JAWA BARAT,3213,KABUPATEN SUBANG,71.71,TAHUN,2017
200,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,70.42,TAHUN,2017
201,32,JAWA BARAT,3215,KABUPATEN KARAWANG,71.64,TAHUN,2017
202,32,JAWA BARAT,3216,KABUPATEN BEKASI,73.3,TAHUN,2017
203,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,71.87,TAHUN,2017
204,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,70.56,TAHUN,2017
205,32,JAWA BARAT,3271,KOTA BOGOR,73.01,TAHUN,2017
206,32,JAWA BARAT,3272,KOTA SUKABUMI,71.95,TAHUN,2017
207,32,JAWA BARAT,3273,KOTA BANDUNG,73.86,TAHUN,2017
208,32,JAWA BARAT,3274,KOTA CIREBON,71.86,TAHUN,2017
209,32,JAWA BARAT,3275,KOTA BEKASI,74.63,TAHUN,2017
210,32,JAWA BARAT,3276,KOTA DEPOK,74.04,TAHUN,2017
211,32,JAWA BARAT,3277,KOTA CIMAHI,73.61,TAHUN,2017
212,32,JAWA BARAT,3278,KOTA TASIKMALAYA,71.48,TAHUN,2017
213,32,JAWA BARAT,3279,KOTA BANJAR,70.39,TAHUN,2017
214,32,JAWA BARAT,3201,KABUPATEN BOGOR,70.86,TAHUN,2018
215,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,70.49,TAHUN,2018
216,32,JAWA BARAT,3203,KABUPATEN CIANJUR,69.7,TAHUN,2018
217,32,JAWA BARAT,3204,KABUPATEN BANDUNG,73.26,TAHUN,2018
218,32,JAWA BARAT,3205,KABUPATEN GARUT,71.03,TAHUN,2018
219,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,68.96,TAHUN,2018
220,32,JAWA BARAT,3207,KABUPATEN CIAMIS,71.32,TAHUN,2018
221,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,73.11,TAHUN,2018
222,32,JAWA BARAT,3209,KABUPATEN CIREBON,71.66,TAHUN,2018
223,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,69.68,TAHUN,2018
224,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,72.14,TAHUN,2018
225,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,71.11,TAHUN,2018
226,32,JAWA BARAT,3213,KABUPATEN SUBANG,71.92,TAHUN,2018
